12/12/2018,-1.98,-,POS Purchase           ,APOS RCSS #28  
12/14/2018,-3,-,POS Purchase           ,APOS RCSS #28  
12/17/2018,-6.75,-,POS Purchase           ,APOS MCDONALD'S #407  
12/20/2018,-51.94,-,POS Purchase           ,EVVIVA BREAKFAST & LUNCH
12/20/2018,414.59,-,DEPOSIT                ,MB-DEP
12/20/2018,-38.36,-,POS Purchase           ,APOS STARBUCKS COFFE 
12/20/2018,-22.58,-,POS Purchase           ,WAL-MART #1095
12/20/2018,-57.34,-,POS Purchase           ,BEST BUY #932
12/20/2018,-20.79,-,POS Purchase           ,APOS AROMA ESPRESSO
12/21/2018,-90.39,-,POS Purchase           ,OPOS Amazon.ca
12/22/2018,245.43,-,DEPOSIT                ,MB-DEP
